project_id,civil_cost_cr,equipment_cost_cr,material_cost_cr,electromechanical_cost_cr,hydromechanical_cost_cr,infrastructure_cost_cr,land_rehabilitation_cost_cr,contingency_cost_cr,total_project_cost_cr,cost_year,base_year,normalized_cost_cr,synthetic_flag
HP-247,37.56,26.5,17.99,18.55,7.95,3.79,3.04,2.28,75.88,2004,2022,182.61,True
HP-248,63.01,35.1,25.73,24.57,10.53,6.31,5.05,3.79,126.19,2006,2022,275.46,True
HP-249,103.31,57.75,50.22,40.42,17.32,9.34,7.47,5.6,186.77,2004,2022,449.48,True
HP-250,65.21,43.02,29.02,30.11,12.91,6.44,5.15,3.86,128.81,2006,2022,281.18,True
HP-251,31.22,21.97,14.69,15.38,6.59,3.18,2.55,1.91,63.63,2010,2022,114.27,True
HP-252,10.78,7.13,4.73,4.99,2.14,1.05,0.84,0.63,21.08,2021,2022,22.13,True
HP-253,110.32,56.11,48.34,39.28,16.83,9.52,7.62,5.71,190.43,2008,2022,377.04,True
HP-254,82.55,42.18,39.81,29.53,12.65,7.94,6.36,4.77,158.88,2000,2022,464.77,True
HP-255,66.23,34.28,28.38,24.0,10.28,6.54,5.24,3.93,130.89,2015,2022,184.18,True
HP-256,35.62,20.11,16.27,14.08,6.03,3.49,2.79,2.09,69.8,2006,2022,152.36,True
HP-257,37.4,23.4,18.56,16.38,7.02,3.69,2.95,2.21,73.8,2009,2022,139.16,True
HP-258,67.08,40.54,30.68,28.38,12.16,6.05,4.84,3.63,120.98,2009,2022,228.13,True
HP-259,82.65,54.31,33.65,38.02,16.29,8.29,6.63,4.97,165.78,2017,2022,211.58,True
HP-260,84.08,49.86,34.43,34.9,14.96,8.01,6.4,4.8,160.12,2013,2022,248.4,True
HP-261,27.79,16.67,12.88,11.67,5.0,2.61,2.09,1.57,52.19,2008,2022,103.33,True
HP-262,15.5,9.59,6.43,6.71,2.88,1.45,1.16,0.87,29.02,2004,2022,69.84,True
HP-263,24.75,16.71,11.17,11.7,5.01,2.42,1.94,1.45,48.45,2013,2022,75.16,True
HP-264,18.4,10.88,7.86,7.62,3.26,1.82,1.46,1.09,36.47,2008,2022,72.21,True
HP-265,108.85,67.93,45.19,47.55,20.38,10.17,8.13,6.1,203.35,2015,2022,286.13,True
HP-266,18.37,9.59,8.0,6.71,2.88,1.76,1.41,1.06,35.3,2003,2022,89.2,True
HP-267,71.43,37.26,33.25,26.08,11.18,7.3,5.84,4.38,146.01,2012,2022,237.83,True
HP-268,80.08,49.39,38.43,34.57,14.82,8.34,6.67,5.0,166.82,2019,2022,193.12,True
HP-269,140.33,68.55,56.88,47.98,20.56,12.26,9.81,7.36,245.21,2005,2022,562.03,True
HP-270,79.98,47.14,35.15,33.0,14.14,8.17,6.54,4.9,163.45,2002,2022,433.68,True
HP-271,35.43,21.43,14.35,15.0,6.43,3.07,2.46,1.84,61.38,2000,2022,179.55,True
HP-272,58.25,33.4,27.07,23.38,10.02,5.05,4.04,3.03,100.96,2013,2022,156.62,True
HP-273,101.9,57.14,42.91,40.0,17.14,9.02,7.22,5.41,180.45,2010,2022,324.06,True
HP-274,18.78,9.51,8.43,6.66,2.85,1.63,1.31,0.98,32.63,2010,2022,58.6,True
HP-275,96.22,51.33,44.76,35.93,15.4,9.17,7.33,5.5,183.3,2020,2022,202.09,True
HP-276,9.13,4.87,4.48,3.41,1.46,0.83,0.67,0.5,16.69,2007,2022,34.7,True
HP-277,69.2,36.28,33.27,25.4,10.88,6.19,4.95,3.71,123.73,2007,2022,257.23,True
HP-278,111.35,61.37,53.62,42.96,18.41,9.6,7.68,5.76,192.04,2017,2022,245.1,True
HP-279,35.02,18.81,14.38,13.17,5.64,3.05,2.44,1.83,60.92,2010,2022,109.4,True
HP-280,75.98,41.91,31.37,29.34,12.57,7.61,6.09,4.57,152.23,2020,2022,167.83,True
HP-281,33.84,17.65,14.51,12.35,5.29,3.38,2.7,2.03,67.62,2004,2022,162.74,True
HP-282,48.83,33.11,23.29,23.18,9.93,5.07,4.05,3.04,101.31,2015,2022,142.55,True
HP-283,29.11,15.13,13.99,10.59,4.54,2.89,2.31,1.73,57.79,2003,2022,146.03,True
HP-284,57.63,27.4,25.21,19.18,8.22,5.46,4.37,3.28,109.27,2006,2022,238.52,True
HP-285,17.81,9.62,8.28,6.73,2.89,1.66,1.33,1.0,33.23,2008,2022,65.79,True
HP-286,29.96,13.53,14.33,9.47,4.06,2.6,2.08,1.56,52.07,2010,2022,93.51,True
HP-287,37.26,22.38,16.96,15.67,6.71,3.46,2.77,2.08,69.29,2005,2022,158.81,True
HP-288,70.49,34.86,34.4,24.4,10.46,6.91,5.53,4.15,138.29,2019,2022,160.09,True
HP-289,37.56,21.69,16.3,15.18,6.51,3.42,2.73,2.05,68.33,2009,2022,128.85,True
HP-290,30.92,14.66,12.45,10.26,4.4,2.71,2.17,1.62,54.13,2012,2022,88.17,True
HP-291,54.21,38.05,25.45,26.63,11.41,5.54,4.43,3.32,110.8,2008,2022,219.38,True
HP-292,69.9,42.19,29.8,29.53,12.66,6.98,5.58,4.18,139.5,2013,2022,216.41,True
HP-293,46.93,29.0,19.45,20.3,8.7,4.8,3.84,2.88,95.97,2007,2022,199.51,True
HP-294,83.89,48.3,41.08,33.81,14.49,7.26,5.8,4.35,145.12,2005,2022,332.62,True
HP-295,71.03,44.81,31.18,31.37,13.44,6.58,5.26,3.95,131.52,2013,2022,204.03,True
HP-296,19.86,11.73,8.89,8.21,3.52,1.88,1.5,1.13,37.52,2001,2022,104.53,True
HP-297,47.84,23.84,19.81,16.69,7.15,4.22,3.38,2.53,84.46,2006,2022,184.37,True
HP-298,125.54,75.07,55.86,52.55,22.52,12.22,9.77,7.33,244.32,2012,2022,397.97,True
HP-299,93.32,46.36,41.34,32.45,13.91,8.37,6.7,5.02,167.46,2015,2022,235.63,True
HP-300,103.92,57.48,47.2,40.24,17.24,9.6,7.68,5.76,192.08,2019,2022,222.36,True
HP-301,2.66,1.82,1.25,1.27,0.55,0.26,0.21,0.16,5.28,2020,2022,5.82,True
HP-302,5.11,3.07,2.44,2.15,0.92,0.47,0.38,0.28,9.44,2012,2022,15.38,True
HP-303,3.25,1.56,1.61,1.09,0.47,0.3,0.24,0.18,5.97,2003,2022,15.09,True
HP-304,3.27,1.82,1.42,1.27,0.55,0.3,0.24,0.18,5.97,2022,2022,5.97,True
HP-305,2.57,1.54,1.21,1.08,0.46,0.25,0.2,0.15,4.95,2002,2022,13.13,True
HP-306,6.26,3.26,2.95,2.28,0.98,0.56,0.45,0.34,11.24,2004,2022,27.05,True
HP-307,4.29,2.65,1.96,1.85,0.79,0.43,0.34,0.26,8.62,2017,2022,11.0,True
HP-308,8.01,4.37,3.21,3.06,1.31,0.71,0.57,0.43,14.19,2020,2022,15.64,True
HP-309,2.74,1.43,1.24,1.0,0.43,0.25,0.2,0.15,4.98,2016,2022,6.67,True
HP-310,6.49,4.24,2.92,2.97,1.27,0.67,0.53,0.4,13.3,2009,2022,25.08,True
HP-311,5.3,3.41,2.55,2.39,1.02,0.5,0.4,0.3,10.09,2005,2022,23.13,True
HP-312,1.02,0.54,0.46,0.38,0.16,0.09,0.07,0.05,1.78,2020,2022,1.96,True
HP-313,5.59,3.68,2.77,2.58,1.1,0.54,0.43,0.32,10.82,2004,2022,26.04,True
HP-314,6.0,3.03,2.76,2.12,0.91,0.58,0.46,0.35,11.61,2014,2022,17.15,True
HP-315,4.08,2.5,2.01,1.75,0.75,0.36,0.29,0.22,7.27,2014,2022,10.74,True
HP-316,2.4,1.54,1.08,1.08,0.46,0.25,0.2,0.15,4.95,2022,2022,4.95,True
HP-317,4.45,2.72,1.84,1.9,0.82,0.39,0.31,0.24,7.87,2006,2022,17.18,True
HP-318,5.51,2.93,2.5,2.05,0.88,0.53,0.42,0.32,10.6,2005,2022,24.3,True
HP-319,4.91,2.29,1.99,1.6,0.69,0.45,0.36,0.27,8.99,2016,2022,12.05,True
HP-320,2.69,1.45,1.34,1.01,0.43,0.27,0.22,0.16,5.48,2017,2022,6.99,True
HP-321,4.39,2.19,2.19,1.53,0.66,0.39,0.31,0.23,7.71,2008,2022,15.27,True
HP-322,2.57,1.65,1.05,1.15,0.49,0.25,0.2,0.15,4.92,2011,2022,8.41,True
HP-323,5.54,3.0,2.45,2.1,0.9,0.52,0.41,0.31,10.35,2022,2022,10.35,True
HP-324,5.2,3.24,2.18,2.27,0.97,0.47,0.37,0.28,9.34,2012,2022,15.21,True
HP-325,2.69,1.58,1.3,1.11,0.47,0.24,0.19,0.14,4.71,2012,2022,7.67,True
HP-326,6.99,3.79,3.37,2.65,1.14,0.66,0.53,0.4,13.28,2018,2022,16.14,True
HP-327,1.26,0.72,0.59,0.5,0.22,0.11,0.09,0.07,2.3,2016,2022,3.08,True
HP-328,4.36,2.1,1.93,1.47,0.63,0.41,0.33,0.25,8.2,2015,2022,11.54,True
HP-329,6.44,3.88,2.66,2.72,1.16,0.63,0.5,0.38,12.6,2017,2022,16.08,True
HP-330,3.6,1.89,1.6,1.32,0.57,0.33,0.26,0.2,6.56,2022,2022,6.56,True
HP-331,0.39,0.22,0.18,0.15,0.07,0.04,0.03,0.02,0.76,2011,2022,1.3,True
HP-332,3.45,1.65,1.46,1.15,0.49,0.33,0.26,0.2,6.56,2002,2022,17.41,True
HP-333,7.31,4.94,3.26,3.46,1.48,0.71,0.57,0.43,14.29,2011,2022,24.44,True
HP-334,3.79,1.92,1.83,1.34,0.58,0.34,0.27,0.2,6.71,2017,2022,8.56,True
HP-335,4.13,2.47,1.68,1.73,0.74,0.38,0.3,0.23,7.59,2008,2022,15.03,True
HP-336,7.55,3.88,3.12,2.72,1.16,0.67,0.53,0.4,13.32,2010,2022,23.92,True
HP-337,8.43,4.25,3.98,2.97,1.27,0.78,0.63,0.47,15.64,2015,2022,22.01,True
HP-338,9.16,4.98,4.21,3.49,1.49,0.86,0.69,0.52,17.25,2020,2022,19.02,True
HP-339,6.44,3.52,3.15,2.46,1.06,0.6,0.48,0.36,11.96,2005,2022,27.41,True
HP-340,1.07,0.67,0.52,0.47,0.2,0.11,0.09,0.06,2.14,2014,2022,3.16,True
HP-341,0.2,0.13,0.08,0.09,0.04,0.02,0.02,0.01,0.38,2004,2022,0.91,True
HP-342,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2010,2022,0.18,True
HP-343,0.21,0.14,0.1,0.1,0.04,0.02,0.02,0.01,0.43,2010,2022,0.77,True
HP-344,0.19,0.1,0.09,0.07,0.03,0.02,0.01,0.01,0.36,2018,2022,0.44,True
HP-345,0.3,0.16,0.14,0.11,0.05,0.03,0.02,0.02,0.59,2005,2022,1.35,True
HP-346,0.26,0.17,0.11,0.12,0.05,0.03,0.02,0.02,0.53,2016,2022,0.71,True
HP-347,0.14,0.08,0.06,0.06,0.02,0.01,0.01,0.01,0.27,2002,2022,0.72,True
HP-348,0.06,0.03,0.03,0.02,0.01,0.01,0.0,0.0,0.12,2013,2022,0.19,True
HP-349,0.2,0.13,0.09,0.09,0.04,0.02,0.02,0.01,0.38,2007,2022,0.79,True
HP-350,0.17,0.09,0.08,0.06,0.03,0.02,0.01,0.01,0.32,2005,2022,0.73,True
HP-351,0.33,0.15,0.15,0.1,0.04,0.03,0.02,0.02,0.6,2014,2022,0.89,True
HP-352,0.16,0.07,0.06,0.05,0.02,0.01,0.01,0.01,0.27,2004,2022,0.65,True
HP-353,0.16,0.09,0.08,0.06,0.03,0.01,0.01,0.01,0.29,2005,2022,0.66,True
HP-354,0.11,0.06,0.05,0.04,0.02,0.01,0.01,0.01,0.19,2011,2022,0.32,True
HP-355,0.07,0.03,0.03,0.02,0.01,0.01,0.01,0.0,0.13,2006,2022,0.28,True
HP-356,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2021,2022,0.11,True
HP-357,0.29,0.14,0.13,0.1,0.04,0.03,0.02,0.02,0.52,2011,2022,0.89,True
HP-358,0.3,0.18,0.14,0.13,0.05,0.03,0.03,0.02,0.63,2011,2022,1.08,True
HP-359,0.09,0.05,0.04,0.03,0.01,0.01,0.01,0.01,0.18,2009,2022,0.34,True
HP-360,0.24,0.12,0.1,0.08,0.04,0.02,0.02,0.01,0.45,2019,2022,0.52,True
HP-361,0.34,0.22,0.15,0.15,0.07,0.03,0.03,0.02,0.69,2003,2022,1.74,True
HP-362,0.14,0.07,0.06,0.05,0.02,0.01,0.01,0.01,0.26,2016,2022,0.35,True
HP-363,0.2,0.11,0.09,0.08,0.03,0.02,0.01,0.01,0.35,2022,2022,0.35,True
HP-364,0.06,0.04,0.03,0.03,0.01,0.01,0.01,0.0,0.13,2004,2022,0.31,True
HP-365,0.08,0.05,0.04,0.03,0.01,0.01,0.01,0.0,0.14,2004,2022,0.34,True
HP-366,0.22,0.1,0.11,0.07,0.03,0.02,0.02,0.01,0.39,2020,2022,0.43,True
HP-367,0.12,0.08,0.05,0.06,0.02,0.01,0.01,0.01,0.26,2007,2022,0.54,True
HP-368,0.1,0.06,0.04,0.04,0.02,0.01,0.01,0.01,0.19,2019,2022,0.22,True
HP-369,0.14,0.09,0.06,0.06,0.03,0.01,0.01,0.01,0.27,2004,2022,0.65,True
HP-370,0.27,0.15,0.13,0.1,0.04,0.03,0.02,0.02,0.52,2003,2022,1.31,True
HP-371,0.26,0.17,0.11,0.12,0.05,0.03,0.02,0.02,0.52,2006,2022,1.14,True
HP-372,0.14,0.07,0.07,0.05,0.02,0.01,0.01,0.01,0.27,2005,2022,0.62,True
HP-373,0.23,0.13,0.11,0.09,0.04,0.02,0.02,0.01,0.41,2013,2022,0.64,True
HP-374,0.28,0.16,0.12,0.11,0.05,0.03,0.02,0.01,0.5,2018,2022,0.61,True
HP-375,0.11,0.05,0.05,0.03,0.01,0.01,0.01,0.01,0.19,2005,2022,0.44,True
HP-376,0.09,0.04,0.04,0.03,0.01,0.01,0.01,0.0,0.16,2020,2022,0.18,True
HP-377,0.18,0.11,0.08,0.08,0.03,0.02,0.01,0.01,0.32,2019,2022,0.37,True
HP-378,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2020,2022,0.11,True
HP-379,0.19,0.14,0.09,0.1,0.04,0.02,0.02,0.01,0.39,2008,2022,0.77,True
HP-380,0.13,0.07,0.06,0.05,0.02,0.01,0.01,0.01,0.24,2010,2022,0.43,True
HP-381,0.06,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2010,2022,0.18,True
HP-382,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2012,2022,0.16,True
HP-383,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2011,2022,0.17,True
HP-384,0.06,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2013,2022,0.16,True
HP-385,0.06,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2017,2022,0.13,True
HP-386,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2007,2022,0.21,True
HP-387,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2003,2022,0.25,True
HP-388,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2014,2022,0.15,True
HP-389,0.06,0.03,0.03,0.02,0.01,0.01,0.0,0.0,0.1,2008,2022,0.2,True
HP-390,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2009,2022,0.19,True
HP-391,0.06,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2002,2022,0.27,True
HP-392,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2002,2022,0.27,True
HP-393,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2017,2022,0.13,True
HP-394,0.06,0.03,0.03,0.02,0.01,0.01,0.0,0.0,0.1,2016,2022,0.13,True
HP-395,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2021,2022,0.11,True
HP-396,0.06,0.03,0.03,0.02,0.01,0.01,0.0,0.0,0.1,2007,2022,0.21,True
HP-397,0.06,0.03,0.03,0.02,0.01,0.01,0.0,0.0,0.1,2014,2022,0.15,True
HP-398,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2013,2022,0.16,True
HP-399,0.06,0.03,0.03,0.02,0.01,0.01,0.0,0.0,0.1,2013,2022,0.16,True
HP-400,0.05,0.03,0.02,0.02,0.01,0.01,0.0,0.0,0.1,2019,2022,0.12,True
