project_id,project_name,project_category,project_type,state,district,river,river_basin,terrain_type,development_type,climate_zone,elevation_m,capacity_mw,number_of_units,unit_capacity_mw,commissioning_year,project_life_years,gross_head_m,net_head_m,design_flow_m3s,minimum_flow_m3s,maximum_flow_m3s,annual_inflow_mcm,catchment_area_km2,reservoir_volume_mcm,dam_type,dam_height_m,dam_length_m,reservoir_area_km2,tunnel_length_km,tunnel_diameter_m,penstock_length_m,penstock_diameter_m,powerhouse_type,powerhouse_area_m2,excavation_volume_m3,turbine_type,turbine_efficiency,generator_efficiency,design_efficiency,number_of_turbines,number_of_generators,transformer_count,transformer_capacity_mva,crane_capacity_t,penstock_sections,project_complexity_score,terrain_complexity_score,civil_complexity_score,hydro_complexity_score,annual_generation_gwh,capacity_factor,plant_load_factor,availability_factor,annual_operating_hours,construction_duration_months,civil_construction_months,dam_construction_months,tunnel_construction_months,powerhouse_construction_months,electromechanical_installation_months,concrete_m3_per_mw,cement_mt_per_mw,reinforcement_steel_mt_per_mw,structural_steel_mt_per_mw,penstock_steel_mt_per_mw,excavation_m3_per_mw,synthetic_generation_version,generation_seed,source_type
HP-095,Pakal Dul Hydro Project Unit-95,Large Hydro,pumped,Telangana,Bhadradri Kothagudem,Indravati,Godavari Basin,Mountainous,Greenfield,Himalayan Sub-tropical,1084.6,1158.99,4,289.7475,2000,40,488.9,464.1,280.266,54.197,411.497,9368.33,4470.0,11.8,Barrage/Weir,8.9,27.9,1.18,21.72,8.32,785.9,5.56,Semi-underground,11962.9,17493886.7,Pelton,0.937,0.961,0.9,4,4,5,374.97,295.8,4,3.3,3.8,3.0,3.0,4770.81,0.47,47.0,0.937,8208.1,82.4,46.9,29.1,34.2,20.7,18.7,1521.82,532.64,25.38,7.79,11.71,15094.08,v1.0,42,synthetic
HP-096,Shanan Hydro Project Unit-96,Large Hydro,run-of-river,Jammu & Kashmir,Ganderbal,Indus,Indus Basin,Gorge,Greenfield,Himalayan Sub-tropical,1984.6,1786.43,6,297.7383,2010,40,351.9,328.3,606.867,113.835,871.507,15547.64,7048.3,12.5,Barrage/Weir,31.3,132.4,1.25,12.76,10.89,191.2,4.44,Semi-underground,31487.5,19633451.0,Pelton,0.918,0.963,0.884,6,6,7,385.31,270.0,4,3.6,4.4,4.1,2.3,9496.25,0.601,60.1,0.922,8076.7,87.2,53.6,31.3,32.7,23.4,22.5,952.76,333.46,19.71,4.81,5.59,10990.33,v1.0,42,synthetic
HP-097,Indirasagar Hydro Project Unit-97,Large Hydro,pumped,Maharashtra,Nashik,Godavari,Godavari Basin,Mountainous,Brownfield,Alpine,2373.1,1414.29,4,353.5725,2003,50,269.2,256.2,612.391,109.683,828.871,20661.38,5990.8,6.0,Barrage/Weir,32.4,188.8,0.6,15.19,5.05,1062.3,3.39,Semi-underground,12040.0,19090648.9,Pelton,0.922,0.972,0.896,4,4,5,457.56,90.7,4,3.0,4.7,2.3,1.9,4665.02,0.381,38.1,0.929,8138.0,90.3,54.2,38.9,35.3,27.0,20.0,1261.93,441.67,24.29,8.36,9.72,13498.4,v1.0,42,synthetic
HP-098,Koldam Hydro Project Unit-98,Large Hydro,run-of-river,Ladakh,Leh,Sutlej,Indus Basin,Mountainous,Greenfield,Alpine,2746.9,204.72,5,40.944,2010,35,65.0,61.7,384.306,61.915,540.893,10386.16,11916.0,3.1,Trench Intake,27.5,132.0,0.31,2.72,9.38,489.0,6.99,Underground,3190.4,6157111.7,Francis,0.944,0.952,0.899,5,5,6,52.99,190.7,4,3.0,3.1,1.7,4.2,762.96,0.43,43.0,0.879,7700.0,82.1,53.2,33.1,25.7,26.5,21.4,4477.65,1567.18,77.82,20.39,41.13,30075.77,v1.0,42,synthetic
HP-099,Allain Duhangan Hydro Project Unit-99,Large Hydro,run-of-river,Uttar Pradesh,Sonbhadra,Teesta,Ganga Basin,Gorge,Greenfield,Alpine,2839.4,1485.48,4,371.37,2022,40,539.4,523.2,331.235,37.03,481.755,10234.18,14985.3,6.5,Trench Intake,15.5,109.0,0.65,6.25,8.48,874.5,3.77,Underground,16455.7,17635229.4,Pelton,0.93,0.96,0.893,4,4,5,480.6,225.3,4,2.6,1.5,3.7,2.5,5015.48,0.387,38.7,0.876,7673.8,76.7,47.3,33.9,32.2,24.1,19.0,1031.54,361.04,23.17,6.78,8.98,11871.74,v1.0,42,synthetic
HP-100,Sawra Kuddu Hydro Project Unit-100,Large Hydro,pumped,Karnataka,Chikmagalur,Bhima,Krishna Basin,Hilly,Greenfield,Alpine,2578.6,135.66,5,27.132,2002,35,183.0,177.2,83.845,15.448,114.976,1940.11,9130.3,13.0,Trench Intake,26.2,119.8,1.3,2.63,6.9,671.9,3.69,Surface,2210.5,5503186.3,Francis,0.922,0.966,0.891,5,5,6,35.11,20.6,4,2.0,2.1,2.6,1.4,601.17,0.501,50.1,0.932,8164.3,69.3,40.5,27.6,29.9,19.5,16.1,6424.67,2248.63,108.59,23.23,49.4,40566.02,v1.0,42,synthetic
HP-101,Omkareshwar Hydro Project Unit-101,Medium Hydro,storage,Tamil Nadu,Central District,Cauvery,Cauvery Basin,Plain,Greenfield,Himalayan Sub-tropical,1133.2,94.93,2,47.465,2003,50,430.8,401.8,27.82,4.559,35.135,544.24,379.6,27.5,Earthfill,167.5,578.6,2.02,4.29,10.71,737.6,3.01,Semi-underground,1092.0,2636790.2,Pelton,0.923,0.954,0.881,2,2,2,61.43,247.1,2,2.7,3.8,2.2,2.1,379.96,0.461,46.1,0.9,7884.0,60.7,37.5,21.9,18.7,17.8,13.2,3373.38,1180.68,74.51,21.76,46.69,27776.15,v1.0,42,synthetic
HP-102,Shanan Hydro Project Unit-102,Medium Hydro,run-of-river,Meghalaya,West Khasi Hills,Dibang,Brahmaputra Basin,Plain,Refurbishment,Tropical,401.5,67.58,3,22.5267,2021,50,402.2,380.8,19.847,3.694,27.49,655.76,500.9,1.4,Concrete Gravity,14.9,108.8,0.14,8.5,7.41,218.6,3.06,Surface,852.3,2016851.7,Pelton,0.917,0.973,0.892,3,3,3,29.15,238.3,3,2.3,3.5,1.7,1.6,273.04,0.458,45.8,0.918,8041.7,50.0,29.5,19.6,19.7,15.2,14.9,3491.67,1222.09,84.06,26.86,32.89,29843.91,v1.0,42,synthetic
HP-103,Budhil Hydro Project Unit-103,Medium Hydro,run-of-river,Arunachal Pradesh,Lower Subansiri,Siang,Brahmaputra Basin,Plain,Refurbishment,Himalayan Sub-tropical,1108.7,87.76,2,43.88,2014,35,197.1,187.2,52.855,8.438,76.426,1160.86,791.7,0.2,Barrage/Weir,29.5,219.4,0.02,20.07,8.45,150.2,3.23,Underground,1099.6,2508946.2,Francis,0.922,0.968,0.892,2,2,2,56.79,,2,3.1,3.0,2.0,4.3,421.82,0.543,54.3,0.943,8260.7,55.6,35.7,25.0,21.5,17.3,14.0,4424.52,1548.58,77.44,24.71,25.99,28588.72,v1.0,42,synthetic
HP-104,Teesta Hydro Project Unit-104,Medium Hydro,storage,Sikkim,West Sikkim,Subansiri,Brahmaputra Basin,Plain,Refurbishment,Himalayan Sub-tropical,2038.2,42.64,4,10.66,2012,40,234.6,221.2,21.327,2.534,28.053,709.35,1016.0,9.4,RCC,65.5,180.2,0.49,16.43,7.41,608.6,7.45,Underground,399.6,1109455.1,Francis,0.942,0.976,0.919,4,4,4,13.8,116.9,4,4.2,4.4,3.8,4.5,179.54,0.482,48.2,0.934,8181.8,46.7,27.7,16.4,17.5,15.1,12.7,6814.3,2385.0,81.58,21.88,147.99,26019.12,v1.0,42,synthetic
HP-105,Shanan Hydro Project Unit-105,Medium Hydro,storage,Odisha,Rayagada,Indravati,Godavari Basin,Plain,Greenfield,Himalayan Sub-tropical,860.2,63.77,4,15.9425,2021,50,79.8,74.9,92.306,9.718,120.281,2815.24,589.2,26.6,Earthfill,149.1,545.8,2.74,21.56,6.06,325.9,5.98,Semi-underground,988.1,1663749.9,Francis,0.939,0.967,0.908,4,4,4,20.63,139.5,4,2.2,1.7,3.0,1.9,319.01,0.574,57.4,0.916,8024.2,49.9,30.0,21.7,17.0,13.1,11.4,6640.27,2324.1,74.26,25.88,55.24,26089.85,v1.0,42,synthetic
HP-106,Nathpa Jhakri Hydro Project Unit-106,Medium Hydro,run-of-river,Andhra Pradesh,Alluri Sitharama Raju,Indravati,Godavari Basin,Mountainous,Greenfield,Alpine,3098.8,84.95,4,21.2375,2004,40,423.9,402.4,24.1,4.16,30.129,643.47,1018.1,0.2,Trench Intake,27.7,99.2,0.02,5.35,6.79,466.4,6.23,Semi-underground,878.1,2413906.5,Pelton,0.937,0.962,0.901,4,4,4,27.48,143.7,4,2.8,2.4,3.2,2.8,351.5,0.472,47.2,0.888,7778.9,61.2,34.3,24.7,21.6,20.5,16.0,2757.84,965.24,77.3,24.7,60.37,28415.62,v1.0,42,synthetic
HP-107,Allain Duhangan Hydro Project Unit-107,Medium Hydro,storage,Arunachal Pradesh,West Kameng,Kopili,Brahmaputra Basin,Hilly,Refurbishment,Himalayan Sub-tropical,1797.6,50.31,4,12.5775,2000,35,46.1,44.5,129.548,15.797,166.468,2516.0,77.3,6.4,RCC,220.6,1044.2,1.0,4.4,10.0,286.4,5.78,Semi-underground,687.3,1437440.0,Kaplan,0.949,0.977,0.927,4,4,4,16.28,152.6,4,2.9,3.8,2.1,2.9,264.41,0.601,60.1,0.885,7752.6,72.0,45.1,27.5,23.3,18.5,20.0,5645.04,1975.77,85.58,25.32,60.88,28571.66,v1.0,42,synthetic
HP-108,Kargil Hydro Project Unit-108,Medium Hydro,run-of-river,Uttar Pradesh,Sonbhadra,Yamuna,Ganga Basin,Plain,Refurbishment,Tropical,777.0,61.9,4,15.475,2003,40,404.9,390.7,18.353,2.295,24.479,600.72,221.2,1.3,Barrage/Weir,24.9,107.9,0.13,16.0,10.33,753.4,5.08,Surface,791.2,1698008.5,Pelton,0.926,0.972,0.9,4,4,4,20.03,68.9,4,2.6,4.2,1.5,2.1,307.71,0.567,56.7,0.871,7630.0,61.8,36.1,23.5,19.1,21.6,16.4,4789.19,1676.21,78.52,23.82,93.83,27431.48,v1.0,42,synthetic
HP-109,Omkareshwar Hydro Project Unit-109,Medium Hydro,run-of-river,West Bengal,Darjeeling,Kosi,Ganga Basin,Plain,Refurbishment,Himalayan Sub-tropical,1608.2,77.19,4,19.2975,2014,50,136.6,132.3,69.812,8.646,91.917,2147.97,789.9,1.0,Trench Intake,34.0,104.8,0.1,8.79,6.36,907.1,4.53,Underground,1240.5,2268099.9,Francis,0.937,0.964,0.903,4,4,4,24.97,247.2,4,3.3,3.7,4.4,1.8,264.01,0.389,38.9,0.873,7647.5,50.0,32.1,17.7,20.3,13.2,10.9,3428.42,1199.95,81.02,27.44,84.14,29383.34,v1.0,42,synthetic
HP-110,SVP Sharavathi Hydro Project Unit-110,Medium Hydro,run-of-river,Jammu & Kashmir,Anantnag,Jhelum,Indus Basin,Mountainous,Refurbishment,Alpine,2615.7,29.73,4,7.4325,2021,40,205.4,189.2,17.069,3.135,24.544,515.97,732.0,0.7,Barrage/Weir,13.2,89.6,0.07,5.36,6.59,323.3,3.72,Semi-underground,249.9,656295.3,Francis,0.914,0.975,0.891,4,4,4,9.62,,4,3.0,3.5,4.1,1.4,110.56,0.423,42.3,0.868,7603.7,58.3,34.5,25.1,24.2,18.6,12.9,4065.12,1422.79,79.83,16.04,68.5,22075.19,v1.0,42,synthetic
HP-111,Rongtong Hydro Project Unit-111,Medium Hydro,run-of-river,Jammu & Kashmir,Kishtwar,Jhelum,Indus Basin,Mountainous,Refurbishment,Tropical,114.2,86.99,2,43.495,2006,35,543.2,500.4,19.813,3.936,26.792,486.44,770.4,0.5,Barrage/Weir,10.8,75.4,0.05,15.7,10.78,648.1,3.38,Semi-underground,1498.6,2726505.2,Pelton,0.912,0.961,0.876,2,2,2,56.29,,2,2.6,2.2,2.1,3.4,308.9,0.405,40.5,0.865,7577.4,40.7,22.5,16.3,12.6,11.1,10.0,4004.12,1401.44,84.99,22.78,51.47,31342.74,v1.0,42,synthetic
HP-112,Rampur Hydro Project Unit-112,Medium Hydro,run-of-river,Arunachal Pradesh,Tawang,Kopili,Brahmaputra Basin,Hilly,Refurbishment,Himalayan Sub-tropical,1913.8,53.16,2,26.58,2013,35,150.2,141.1,42.737,6.23,53.774,963.85,360.1,0.7,Barrage/Weir,25.8,85.1,0.07,4.73,9.96,631.5,3.36,Surface,542.2,1456649.2,Francis,0.922,0.955,0.881,2,2,2,34.4,275.0,2,4.4,4.1,4.7,4.4,202.68,0.435,43.5,0.897,7857.7,58.8,33.6,23.4,21.7,14.8,14.3,3205.96,1122.09,81.0,22.92,68.15,27401.23,v1.0,42,synthetic
HP-113,Bassu Hydro Project Unit-113,Medium Hydro,storage,Bihar,Kaimur,Bhagirathi,Ganga Basin,Hilly,Refurbishment,Himalayan Sub-tropical,1746.5,80.01,3,26.67,2022,35,270.7,259.3,33.257,5.759,49.386,607.91,390.2,33.1,Concrete Gravity,43.0,208.2,2.46,11.19,7.99,762.8,7.38,Surface,1257.6,2383477.3,Pelton,0.945,0.962,0.909,3,3,3,34.51,205.6,3,3.2,4.1,2.6,2.9,277.13,0.397,39.7,0.94,8234.4,40.2,23.8,15.2,17.8,12.2,11.2,3763.72,1317.3,81.71,26.89,104.86,29789.74,v1.0,42,synthetic
HP-114,Shanan Hydro Project Unit-114,Medium Hydro,run-of-river,Kerala,Wayanad,Moyar,Cauvery Basin,Mountainous,Greenfield,Himalayan Sub-tropical,2109.3,71.44,4,17.86,2002,50,401.8,385.6,19.747,2.199,26.531,662.28,717.1,1.9,Barrage/Weir,27.6,187.8,0.19,8.41,10.29,678.7,4.61,Underground,616.8,2106428.1,Pelton,0.924,0.965,0.892,4,4,4,23.11,212.2,4,2.9,3.2,1.7,3.7,283.65,0.45,45.0,0.916,8024.2,60.9,38.4,27.0,18.9,20.7,15.0,3466.07,1213.13,82.28,23.03,73.13,29485.28,v1.0,42,synthetic
HP-115,Nagarjunasagar Hydro Project Unit-115,Medium Hydro,storage,Ladakh,Leh,Jhelum,Indus Basin,Plain,Greenfield,Himalayan Sub-tropical,1569.1,56.24,3,18.7467,2014,50,368.8,352.4,18.887,2.327,28.033,528.2,523.4,18.5,Rockfill,132.4,639.6,,12.97,7.21,745.6,6.99,Surface,546.5,1505111.0,Pelton,0.92,0.965,0.888,3,3,3,24.26,173.1,3,3.4,4.7,4.0,1.5,207.97,0.42,42.0,0.943,8260.7,53.4,34.6,23.2,21.6,16.9,11.5,5671.7,1985.1,78.12,20.97,130.73,26762.29,v1.0,42,synthetic
HP-116,Koteshwar Hydro Project Unit-116,Medium Hydro,run-of-river,Punjab,Pathankot,Ravi,Indus Basin,Plain,Refurbishment,Tropical,476.6,58.63,2,29.315,2012,40,431.9,398.5,15.643,3.082,21.335,396.85,794.3,0.7,Trench Intake,34.1,230.9,0.07,21.88,8.67,989.6,6.14,Surface,667.6,1497751.0,Pelton,0.914,0.964,0.881,2,2,2,37.94,152.2,2,2.3,1.6,3.7,1.7,221.46,0.433,43.3,0.892,7813.9,53.3,30.4,21.5,22.2,17.4,11.7,5928.78,2075.07,73.92,21.63,142.84,25545.81,v1.0,42,synthetic
HP-117,Lata Tapovan Hydro Project Unit-117,Medium Hydro,run-of-river,Tamil Nadu,Central District,Cauvery,Cauvery Basin,Mountainous,Refurbishment,Himalayan Sub-tropical,1255.8,36.1,3,12.0333,2011,40,197.1,186.8,21.132,3.989,30.059,499.39,558.9,0.4,Concrete Gravity,34.1,174.6,0.04,19.93,4.98,766.5,2.93,Underground,398.3,852707.5,Francis,0.95,0.966,0.918,3,3,3,15.57,75.1,3,3.5,2.6,4.7,3.3,167.23,0.533,53.3,0.885,7752.6,49.8,30.2,22.0,16.4,16.6,11.4,8047.78,2816.72,78.41,15.76,94.26,23620.71,v1.0,42,synthetic
HP-118,Rongtong Hydro Project Unit-118,Medium Hydro,run-of-river,Telangana,Bhadradri Kothagudem,Pranahita,Godavari Basin,Hilly,Refurbishment,Himalayan Sub-tropical,1393.2,87.57,3,29.19,2022,50,164.8,158.9,64.822,6.915,92.285,1734.81,700.4,1.7,Concrete Gravity,25.6,201.5,0.17,18.37,6.61,919.6,2.59,Surface,843.2,2491618.9,Francis,0.912,0.96,0.876,3,3,3,37.78,208.8,3,2.7,4.4,1.7,1.9,457.18,0.599,59.9,0.892,7813.9,50.8,32.7,20.4,21.1,13.6,10.6,4200.41,1470.14,77.09,20.27,51.91,28452.88,v1.0,42,synthetic
HP-119,Subansiri Hydro Project Unit-119,Medium Hydro,run-of-river,Kerala,Idukki,Kabini,Cauvery Basin,Mountainous,Refurbishment,Himalayan Sub-tropical,1377.2,35.27,2,17.635,2003,35,118.8,113.9,36.399,5.873,52.758,935.97,661.9,1.1,Barrage/Weir,17.5,132.7,0.11,4.33,4.92,168.2,4.24,Semi-underground,410.0,870621.6,Francis,0.943,0.977,0.921,2,2,2,22.82,,2,3.3,3.5,4.0,2.5,179.17,0.575,57.5,0.88,7708.8,40.8,23.4,14.8,13.0,10.5,11.0,3592.54,1257.39,82.69,16.9,44.94,24684.48,v1.0,42,synthetic
HP-120,Sutlej Hydro Project Unit-120,Medium Hydro,run-of-river,Tamil Nadu,Central District,Cauvery,Cauvery Basin,Hilly,Refurbishment,Himalayan Sub-tropical,2169.5,93.14,2,46.57,2003,50,144.8,133.9,78.746,8.589,114.478,2645.02,1141.1,0.8,Barrage/Weir,30.7,212.0,0.08,14.26,7.53,221.8,6.6,Underground,1237.7,2871256.2,Francis,0.939,0.979,0.919,2,2,2,60.27,160.7,2,2.5,2.1,4.0,1.3,490.06,0.601,60.1,0.937,8208.1,55.2,31.4,23.0,17.4,18.4,16.5,3800.91,1330.32,82.88,28.07,39.58,30827.32,v1.0,42,synthetic
HP-121,Tidong Hydro Project Unit-121,Medium Hydro,run-of-river,Sikkim,West Sikkim,Kopili,Brahmaputra Basin,Mountainous,Refurbishment,Tropical,458.7,79.16,3,26.3867,2014,50,415.4,388.7,21.883,3.08,32.726,522.25,1035.3,1.8,Trench Intake,33.2,160.6,0.18,2.26,8.72,855.7,4.48,Semi-underground,1154.6,2462203.1,Pelton,0.913,0.954,0.871,3,3,3,34.15,148.0,3,2.6,2.8,3.4,1.6,273.54,0.396,39.6,0.948,8304.5,52.9,34.3,19.2,22.5,17.1,12.1,2673.23,935.63,85.44,29.62,79.47,31104.13,v1.0,42,synthetic
HP-122,Koldam Hydro Project Unit-122,Medium Hydro,run-of-river,West Bengal,Kalimpong,Yamuna,Ganga Basin,Hilly,Refurbishment,Himalayan Sub-tropical,1617.0,82.6,2,41.3,2020,35,55.2,51.5,175.812,18.051,220.421,4783.44,426.0,0.7,Concrete Gravity,7.9,26.7,0.07,17.03,9.37,982.4,3.51,Semi-underground,1072.1,2522207.2,Francis,0.93,0.966,0.898,2,2,2,53.45,175.0,2,2.9,4.2,3.2,1.4,427.12,0.591,59.1,0.871,7630.0,57.1,33.9,20.2,18.6,18.0,15.9,4203.6,1471.26,83.38,29.07,70.94,30535.2,v1.0,42,synthetic
HP-123,Tidong Hydro Project Unit-123,Medium Hydro,storage,Gujarat,Narmada,Tawa,Narmada Basin,Hilly,Refurbishment,Himalayan Sub-tropical,916.5,89.08,4,22.27,2012,50,385.0,358.7,27.354,4.351,33.877,620.96,981.0,30.0,Rockfill,112.3,449.0,5.96,10.24,4.4,406.4,3.67,Surface,1240.5,2562663.0,Pelton,0.946,0.952,0.901,4,4,4,28.82,231.8,4,2.1,2.5,2.4,1.4,462.47,0.587,58.7,0.911,7980.4,51.4,31.8,21.0,23.0,14.8,12.3,3850.29,1347.6,77.77,20.93,39.54,28768.11,v1.0,42,synthetic
HP-124,Vishnugad Pipalkoti Hydro Project Unit-124,Medium Hydro,storage,Uttar Pradesh,Sonbhadra,Mandakini,Ganga Basin,Hilly,Greenfield,Himalayan Sub-tropical,990.8,40.13,2,20.065,2009,50,245.0,234.9,18.297,3.374,22.476,405.12,127.4,40.5,Earthfill,121.2,450.3,2.49,18.47,7.53,464.9,5.82,Surface,401.3,926976.1,Francis,0.926,0.969,0.897,2,2,2,25.97,52.8,2,3.0,3.0,4.0,1.9,204.93,0.587,58.7,0.912,7989.1,68.8,42.9,27.3,30.3,20.9,18.0,8260.61,2891.21,73.84,22.56,99.37,23099.33,v1.0,42,synthetic
HP-125,Singoli Bhatwari Hydro Project Unit-125,Medium Hydro,run-of-river,Meghalaya,Ri-Bhoi,Kameng,Brahmaputra Basin,Plain,Greenfield,Alpine,2722.5,48.9,3,16.3,2009,50,121.9,114.1,47.964,5.516,57.955,1479.66,407.1,1.0,Trench Intake,17.7,133.3,0.1,6.04,5.91,180.6,6.45,Surface,713.3,1371268.4,Francis,0.917,0.976,0.895,3,3,3,21.09,285.4,3,3.0,4.7,3.0,1.4,226.62,0.524,52.4,0.938,8216.9,47.2,27.7,19.6,14.8,16.3,12.9,3567.42,1248.6,84.6,17.99,49.74,28042.3,v1.0,42,synthetic
HP-126,Koyna Hydro Project Unit-126,Medium Hydro,run-of-river,Andhra Pradesh,Kurnool,Wainganga,Godavari Basin,Mountainous,Refurbishment,Alpine,2598.1,69.99,4,17.4975,2007,40,151.2,145.9,53.905,7.592,78.64,907.02,663.5,1.4,Barrage/Weir,14.5,74.2,0.14,15.65,10.74,1073.4,7.18,Surface,892.5,2076277.8,Francis,0.925,0.959,0.887,4,4,4,22.64,276.2,4,3.2,3.6,4.5,1.4,241.94,0.393,39.3,0.943,8260.7,43.2,25.4,17.9,17.5,14.7,11.6,4436.96,1552.94,83.06,26.57,152.9,29665.35,v1.0,42,synthetic
HP-127,Chamera Hydro Project Unit-127,Medium Hydro,storage,Arunachal Pradesh,West Kameng,Kameng,Brahmaputra Basin,Mountainous,Refurbishment,Alpine,2546.9,93.69,3,31.23,2002,40,280.3,266.1,39.159,7.349,56.627,1228.3,853.3,26.3,Rockfill,120.0,606.3,3.48,8.54,8.87,950.1,5.71,Underground,1339.9,2603197.3,Pelton,0.942,0.954,0.899,3,3,3,40.42,130.2,3,2.9,2.8,3.5,2.4,416.93,0.504,50.4,0.947,8295.7,63.9,40.6,26.7,26.8,18.0,15.8,3546.32,1241.21,74.65,16.7,88.15,27785.22,v1.0,42,synthetic
HP-128,Teesta Hydro Project Unit-128,Medium Hydro,storage,West Bengal,Darjeeling,Gandak,Ganga Basin,Plain,Greenfield,Alpine,2911.2,96.11,3,32.0367,2006,40,397.6,382.3,28.205,3.554,34.6,641.09,1139.3,7.6,Earthfill,186.9,1074.5,1.32,11.88,5.57,363.3,7.23,Surface,1045.6,2770660.3,Pelton,0.93,0.954,0.887,3,3,3,41.46,216.9,3,4.1,4.3,3.4,4.7,400.69,0.48,48.0,0.897,7857.7,57.9,33.4,23.8,25.3,16.6,15.5,4333.42,1516.7,77.22,23.29,52.1,28828.01,v1.0,42,synthetic
HP-129,Kiru Hydro Project Unit-129,Medium Hydro,run-of-river,Uttar Pradesh,Sonbhadra,Mandakini,Ganga Basin,Mountainous,Greenfield,Himalayan Sub-tropical,1559.9,66.77,3,22.2567,2019,50,533.3,501.3,14.213,1.782,19.698,305.46,503.9,0.8,Concrete Gravity,6.2,24.2,,5.4,7.45,506.1,4.84,Underground,746.0,2004868.0,Pelton,0.931,0.954,0.888,3,3,3,28.8,241.5,3,1.7,1.9,1.4,1.7,325.26,0.559,55.9,0.943,8260.7,57.5,35.1,24.5,19.5,16.2,16.6,2983.4,1044.19,84.76,27.56,65.21,30026.48,v1.0,42,synthetic
HP-130,Nathpa Jhakri Hydro Project Unit-130,Medium Hydro,run-of-river,Telangana,Nalgonda,Godavari,Godavari Basin,Hilly,Refurbishment,Himalayan Sub-tropical,1452.9,27.69,3,9.23,2001,40,221.8,207.3,14.97,2.763,21.857,271.07,157.6,1.7,Barrage/Weir,30.0,202.5,0.17,18.45,7.94,846.3,3.56,Underground,367.2,626213.5,Francis,0.933,0.962,0.898,3,3,3,11.94,200.3,3,3.1,1.8,4.0,3.6,131.62,0.544,54.4,0.921,8068.0,52.6,33.9,22.8,17.0,13.6,14.9,9437.07,3302.97,84.96,17.32,151.81,22615.15,v1.0,42,synthetic
HP-131,Luhri Hydro Project Unit-131,Medium Hydro,storage,Punjab,Pathankot,Indus,Indus Basin,Mountainous,Refurbishment,Alpine,2574.3,89.75,4,22.4375,2002,50,525.5,499.7,19.797,3.89,28.897,345.57,1030.2,9.8,Earthfill,94.1,483.1,,4.41,7.44,604.0,6.53,Surface,1529.1,2635128.2,Pelton,0.934,0.961,0.898,4,4,4,29.04,197.7,4,2.1,1.8,2.6,2.0,345.65,0.444,44.4,0.914,8006.6,53.7,31.5,19.8,21.2,13.9,13.5,3102.99,1086.05,79.3,20.48,72.56,29360.76,v1.0,42,synthetic
HP-132,Bassu Hydro Project Unit-132,Medium Hydro,run-of-river,Maharashtra,Satara,Wainganga,Godavari Basin,Plain,Refurbishment,Alpine,2708.8,47.53,4,11.8825,2013,40,330.0,311.0,16.677,2.519,22.079,409.59,878.4,1.6,Trench Intake,12.6,43.0,0.16,12.07,4.8,844.7,3.4,Underground,780.9,1302512.0,Pelton,0.912,0.962,0.877,4,4,4,15.38,127.5,4,3.3,3.8,2.4,3.8,241.39,0.574,57.4,0.891,7805.2,56.4,32.2,20.2,25.2,15.6,15.1,4780.86,1673.3,83.29,22.28,93.33,27404.0,v1.0,42,synthetic
HP-133,Omkareshwar Hydro Project Unit-133,Medium Hydro,storage,Uttar Pradesh,Sonbhadra,Kosi,Ganga Basin,Mountainous,Refurbishment,Alpine,2594.4,71.39,2,35.695,2004,35,47.1,45.4,187.946,34.939,237.332,5270.19,797.2,22.9,RCC,56.4,292.9,1.65,10.44,4.82,1097.5,6.19,Surface,1259.2,2155636.5,Francis,0.929,0.976,0.907,2,2,2,46.19,151.5,2,2.8,3.4,1.9,3.2,240.11,0.382,38.2,0.917,8032.9,64.0,40.6,27.1,24.9,19.5,14.7,4043.23,1415.13,84.27,17.5,135.26,30195.22,v1.0,42,synthetic
HP-134,Budhil Hydro Project Unit-134,Medium Hydro,run-of-river,Tamil Nadu,Central District,Cauvery,Cauvery Basin,Mountainous,Refurbishment,Alpine,2856.3,48.69,2,24.345,2015,50,518.9,494.3,10.527,1.356,13.239,234.48,316.9,0.5,Concrete Gravity,15.2,91.4,0.05,18.85,8.6,287.7,3.97,Semi-underground,579.6,1386843.9,Pelton,0.927,0.978,0.907,2,2,2,31.51,206.3,2,3.0,3.7,2.5,2.9,181.59,0.43,43.0,0.922,8076.7,48.8,27.7,17.8,18.2,16.1,14.4,6209.44,2173.3,86.03,19.3,49.66,28483.14,v1.0,42,synthetic
HP-135,Sardar Sarovar Hydro Project Unit-135,Medium Hydro,storage,Tamil Nadu,Central District,Cauvery,Cauvery Basin,Hilly,Greenfield,Himalayan Sub-tropical,1842.1,57.3,3,19.1,2008,40,440.3,410.2,15.435,2.927,22.474,498.55,744.9,7.0,Concrete Gravity,216.1,871.4,0.83,18.83,4.78,261.2,5.55,Underground,930.3,1490147.4,Pelton,0.912,0.953,0.869,3,3,3,24.72,34.7,3,4.1,3.6,4.4,4.4,245.31,0.486,48.6,0.906,7936.6,55.7,34.2,21.4,17.9,18.7,13.6,7439.29,2603.75,75.61,18.43,49.26,26006.06,v1.0,42,synthetic
