project_id,equipment_type,quantity,capacity_per_unit,unit_of_measure,technology
HP-120,EOT Crane,1,160.7,Tonne,Overhead EOT Crane
HP-121,Turbine,3,26.3867,MW,Pelton
HP-121,Generator,3,26.3867,MW,Synchronous Hydro Generator
HP-121,Main Transformer,3,34.15,MVA,Step-up Power Transformer
HP-121,EOT Crane,1,148.0,Tonne,Overhead EOT Crane
HP-122,Turbine,2,41.3,MW,Francis
HP-122,Generator,2,41.3,MW,Synchronous Hydro Generator
HP-122,Main Transformer,2,53.45,MVA,Step-up Power Transformer
HP-122,EOT Crane,1,175.0,Tonne,Overhead EOT Crane
HP-123,Turbine,4,22.27,MW,Pelton
HP-123,Generator,4,22.27,MW,Synchronous Hydro Generator
HP-123,Main Transformer,4,28.82,MVA,Step-up Power Transformer
HP-123,EOT Crane,1,231.8,Tonne,Overhead EOT Crane
HP-124,Turbine,2,20.065,MW,Francis
HP-124,Generator,2,20.065,MW,Synchronous Hydro Generator
HP-124,Main Transformer,2,25.97,MVA,Step-up Power Transformer
HP-124,EOT Crane,1,52.8,Tonne,Overhead EOT Crane
HP-125,Turbine,3,16.3,MW,Francis
HP-125,Generator,3,16.3,MW,Synchronous Hydro Generator
HP-125,Main Transformer,3,21.09,MVA,Step-up Power Transformer
HP-125,EOT Crane,1,285.4,Tonne,Overhead EOT Crane
HP-126,Turbine,4,17.4975,MW,Francis
HP-126,Generator,4,17.4975,MW,Synchronous Hydro Generator
HP-126,Main Transformer,4,22.64,MVA,Step-up Power Transformer
HP-126,EOT Crane,1,276.2,Tonne,Overhead EOT Crane
HP-127,Turbine,3,31.23,MW,Pelton
HP-127,Generator,3,31.23,MW,Synchronous Hydro Generator
HP-127,Main Transformer,3,40.42,MVA,Step-up Power Transformer
HP-127,EOT Crane,1,130.2,Tonne,Overhead EOT Crane
HP-128,Turbine,3,32.0367,MW,Pelton
HP-128,Generator,3,32.0367,MW,Synchronous Hydro Generator
HP-128,Main Transformer,3,41.46,MVA,Step-up Power Transformer
HP-128,EOT Crane,1,216.9,Tonne,Overhead EOT Crane
HP-129,Turbine,3,22.2567,MW,Pelton
HP-129,Generator,3,22.2567,MW,Synchronous Hydro Generator
HP-129,Main Transformer,3,28.8,MVA,Step-up Power Transformer
HP-129,EOT Crane,1,241.5,Tonne,Overhead EOT Crane
HP-130,Turbine,3,9.23,MW,Francis
HP-130,Generator,3,9.23,MW,Synchronous Hydro Generator
HP-130,Main Transformer,3,11.94,MVA,Step-up Power Transformer
HP-130,EOT Crane,1,200.3,Tonne,Overhead EOT Crane
HP-131,Turbine,4,22.4375,MW,Pelton
HP-131,Generator,4,22.4375,MW,Synchronous Hydro Generator
HP-131,Main Transformer,4,29.04,MVA,Step-up Power Transformer
HP-131,EOT Crane,1,197.7,Tonne,Overhead EOT Crane
HP-132,Turbine,4,11.8825,MW,Pelton
HP-132,Generator,4,11.8825,MW,Synchronous Hydro Generator
HP-132,Main Transformer,4,15.38,MVA,Step-up Power Transformer
HP-132,EOT Crane,1,127.5,Tonne,Overhead EOT Crane
HP-133,Turbine,2,35.695,MW,Francis
HP-133,Generator,2,35.695,MW,Synchronous Hydro Generator
HP-133,Main Transformer,2,46.19,MVA,Step-up Power Transformer
HP-133,EOT Crane,1,151.5,Tonne,Overhead EOT Crane
HP-134,Turbine,2,24.345,MW,Pelton
HP-134,Generator,2,24.345,MW,Synchronous Hydro Generator
HP-134,Main Transformer,2,31.51,MVA,Step-up Power Transformer
HP-134,EOT Crane,1,206.3,Tonne,Overhead EOT Crane
HP-135,Turbine,3,19.1,MW,Pelton
HP-135,Generator,3,19.1,MW,Synchronous Hydro Generator
HP-135,Main Transformer,3,24.72,MVA,Step-up Power Transformer
HP-135,EOT Crane,1,34.7,Tonne,Overhead EOT Crane
HP-136,Turbine,3,27.1633,MW,Pelton
HP-136,Generator,3,27.1633,MW,Synchronous Hydro Generator
HP-136,Main Transformer,3,35.15,MVA,Step-up Power Transformer
HP-136,EOT Crane,1,138.2,Tonne,Overhead EOT Crane
HP-137,Turbine,4,7.83,MW,Pelton
HP-137,Generator,4,7.83,MW,Synchronous Hydro Generator
HP-137,Main Transformer,4,10.13,MVA,Step-up Power Transformer
HP-137,EOT Crane,1,40.5,Tonne,Overhead EOT Crane
HP-138,Turbine,3,11.9967,MW,Francis
HP-138,Generator,3,11.9967,MW,Synchronous Hydro Generator
HP-138,Main Transformer,3,15.53,MVA,Step-up Power Transformer
HP-139,Turbine,3,12.91,MW,Francis
HP-139,Generator,3,12.91,MW,Synchronous Hydro Generator
HP-139,Main Transformer,3,16.71,MVA,Step-up Power Transformer
HP-139,EOT Crane,1,44.9,Tonne,Overhead EOT Crane
HP-140,Turbine,4,10.85,MW,Francis
HP-140,Generator,4,10.85,MW,Synchronous Hydro Generator
HP-140,Main Transformer,4,14.04,MVA,Step-up Power Transformer
HP-140,EOT Crane,1,128.2,Tonne,Overhead EOT Crane
HP-141,Turbine,3,27.4067,MW,Pelton
HP-141,Generator,3,27.4067,MW,Synchronous Hydro Generator
HP-141,Main Transformer,3,35.47,MVA,Step-up Power Transformer
HP-141,EOT Crane,1,294.1,Tonne,Overhead EOT Crane
HP-142,Turbine,2,20.4,MW,Pelton
HP-142,Generator,2,20.4,MW,Synchronous Hydro Generator
HP-142,Main Transformer,2,26.4,MVA,Step-up Power Transformer
HP-142,EOT Crane,1,70.6,Tonne,Overhead EOT Crane
HP-143,Turbine,4,16.92,MW,Pelton
HP-143,Generator,4,16.92,MW,Synchronous Hydro Generator
HP-143,Main Transformer,4,21.9,MVA,Step-up Power Transformer
HP-143,EOT Crane,1,297.2,Tonne,Overhead EOT Crane
HP-144,Turbine,3,12.4467,MW,Pelton
HP-144,Generator,3,12.4467,MW,Synchronous Hydro Generator
HP-144,Main Transformer,3,16.11,MVA,Step-up Power Transformer
HP-144,EOT Crane,1,134.2,Tonne,Overhead EOT Crane
HP-145,Turbine,2,41.86,MW,Pelton
HP-145,Generator,2,41.86,MW,Synchronous Hydro Generator
HP-145,Main Transformer,2,54.17,MVA,Step-up Power Transformer
HP-145,EOT Crane,1,294.8,Tonne,Overhead EOT Crane
HP-146,Turbine,2,23.735,MW,Pelton
HP-146,Generator,2,23.735,MW,Synchronous Hydro Generator
HP-146,Main Transformer,2,30.72,MVA,Step-up Power Transformer
HP-146,EOT Crane,1,142.3,Tonne,Overhead EOT Crane
HP-147,Turbine,2,49.14,MW,Pelton
HP-147,Generator,2,49.14,MW,Synchronous Hydro Generator
HP-147,Main Transformer,2,63.59,MVA,Step-up Power Transformer
HP-147,EOT Crane,1,260.3,Tonne,Overhead EOT Crane
HP-148,Turbine,2,18.395,MW,Pelton
HP-148,Generator,2,18.395,MW,Synchronous Hydro Generator
HP-148,Main Transformer,2,23.81,MVA,Step-up Power Transformer
HP-148,EOT Crane,1,237.1,Tonne,Overhead EOT Crane
HP-149,Turbine,4,18.515,MW,Francis
HP-149,Generator,4,18.515,MW,Synchronous Hydro Generator
HP-149,Main Transformer,4,23.96,MVA,Step-up Power Transformer
HP-149,EOT Crane,1,123.3,Tonne,Overhead EOT Crane
HP-150,Turbine,2,33.855,MW,Francis
HP-150,Generator,2,33.855,MW,Synchronous Hydro Generator
HP-150,Main Transformer,2,43.81,MVA,Step-up Power Transformer
HP-150,EOT Crane,1,105.4,Tonne,Overhead EOT Crane
HP-151,Turbine,4,6.9825,MW,Pelton
HP-151,Generator,4,6.9825,MW,Synchronous Hydro Generator
HP-151,Main Transformer,4,9.04,MVA,Step-up Power Transformer
HP-151,EOT Crane,1,125.0,Tonne,Overhead EOT Crane
HP-152,Turbine,4,20.2875,MW,Pelton
HP-152,Generator,4,20.2875,MW,Synchronous Hydro Generator
HP-152,Main Transformer,4,26.25,MVA,Step-up Power Transformer
HP-152,EOT Crane,1,204.0,Tonne,Overhead EOT Crane
HP-153,Turbine,4,7.075,MW,Francis
HP-153,Generator,4,7.075,MW,Synchronous Hydro Generator
HP-153,Main Transformer,4,9.16,MVA,Step-up Power Transformer
HP-153,EOT Crane,1,179.7,Tonne,Overhead EOT Crane
HP-154,Turbine,2,34.53,MW,Pelton
HP-154,Generator,2,34.53,MW,Synchronous Hydro Generator
HP-154,Main Transformer,2,44.69,MVA,Step-up Power Transformer
HP-154,EOT Crane,1,51.0,Tonne,Overhead EOT Crane
HP-155,Turbine,4,15.765,MW,Francis
HP-155,Generator,4,15.765,MW,Synchronous Hydro Generator
HP-155,Main Transformer,4,20.4,MVA,Step-up Power Transformer
HP-155,EOT Crane,1,282.7,Tonne,Overhead EOT Crane
HP-156,Turbine,2,36.54,MW,Francis
HP-156,Generator,2,36.54,MW,Synchronous Hydro Generator
HP-156,Main Transformer,2,47.29,MVA,Step-up Power Transformer
HP-156,EOT Crane,1,164.6,Tonne,Overhead EOT Crane
HP-157,Turbine,3,27.1433,MW,Pelton
HP-157,Generator,3,27.1433,MW,Synchronous Hydro Generator
HP-157,Main Transformer,3,35.13,MVA,Step-up Power Transformer
HP-157,EOT Crane,1,12.1,Tonne,Overhead EOT Crane
HP-158,Turbine,3,28.1267,MW,Francis
HP-158,Generator,3,28.1267,MW,Synchronous Hydro Generator
HP-158,Main Transformer,3,36.4,MVA,Step-up Power Transformer
HP-158,EOT Crane,1,240.2,Tonne,Overhead EOT Crane
HP-159,Turbine,4,11.76,MW,Francis
HP-159,Generator,4,11.76,MW,Synchronous Hydro Generator
HP-159,Main Transformer,4,15.22,MVA,Step-up Power Transformer
HP-159,EOT Crane,1,220.3,Tonne,Overhead EOT Crane
HP-160,Turbine,4,11.1075,MW,Pelton
HP-160,Generator,4,11.1075,MW,Synchronous Hydro Generator
HP-160,Main Transformer,4,14.37,MVA,Step-up Power Transformer
HP-160,EOT Crane,1,94.5,Tonne,Overhead EOT Crane
HP-161,Turbine,2,44.305,MW,Francis
HP-161,Generator,2,44.305,MW,Synchronous Hydro Generator
HP-161,Main Transformer,2,57.34,MVA,Step-up Power Transformer
HP-161,EOT Crane,1,207.0,Tonne,Overhead EOT Crane
HP-162,Turbine,2,19.235,MW,Francis
HP-162,Generator,2,19.235,MW,Synchronous Hydro Generator
HP-162,Main Transformer,2,24.89,MVA,Step-up Power Transformer
HP-162,EOT Crane,1,124.2,Tonne,Overhead EOT Crane
HP-163,Turbine,2,43.895,MW,Francis
HP-163,Generator,2,43.895,MW,Synchronous Hydro Generator
HP-163,Main Transformer,2,56.81,MVA,Step-up Power Transformer
HP-163,EOT Crane,1,114.1,Tonne,Overhead EOT Crane
HP-164,Turbine,2,22.06,MW,Francis
HP-164,Generator,2,22.06,MW,Synchronous Hydro Generator
HP-164,Main Transformer,2,28.55,MVA,Step-up Power Transformer
HP-164,EOT Crane,1,152.0,Tonne,Overhead EOT Crane
HP-165,Turbine,3,23.52,MW,Pelton
HP-165,Generator,3,23.52,MW,Synchronous Hydro Generator
HP-165,Main Transformer,3,30.44,MVA,Step-up Power Transformer
HP-165,EOT Crane,1,26.6,Tonne,Overhead EOT Crane
HP-166,Turbine,4,18.945,MW,Pelton
HP-166,Generator,4,18.945,MW,Synchronous Hydro Generator
HP-166,Main Transformer,4,24.52,MVA,Step-up Power Transformer
HP-166,EOT Crane,1,189.1,Tonne,Overhead EOT Crane
HP-167,Turbine,4,12.41,MW,Francis
HP-167,Generator,4,12.41,MW,Synchronous Hydro Generator
HP-167,Main Transformer,4,16.06,MVA,Step-up Power Transformer
HP-167,EOT Crane,1,104.2,Tonne,Overhead EOT Crane
HP-168,Turbine,4,8.3075,MW,Francis
HP-168,Generator,4,8.3075,MW,Synchronous Hydro Generator
HP-168,Main Transformer,4,10.75,MVA,Step-up Power Transformer
HP-168,EOT Crane,1,77.1,Tonne,Overhead EOT Crane
HP-169,Turbine,3,24.43,MW,Francis
HP-169,Generator,3,24.43,MW,Synchronous Hydro Generator
HP-169,Main Transformer,3,31.62,MVA,Step-up Power Transformer
HP-169,EOT Crane,1,97.4,Tonne,Overhead EOT Crane
HP-170,Turbine,4,8.6475,MW,Pelton
HP-170,Generator,4,8.6475,MW,Synchronous Hydro Generator
HP-170,Main Transformer,4,11.19,MVA,Step-up Power Transformer
HP-171,Turbine,2,36.485,MW,Pelton
HP-171,Generator,2,36.485,MW,Synchronous Hydro Generator
HP-171,Main Transformer,2,47.22,MVA,Step-up Power Transformer
HP-171,EOT Crane,1,220.6,Tonne,Overhead EOT Crane
HP-172,Turbine,2,29.725,MW,Francis
HP-172,Generator,2,29.725,MW,Synchronous Hydro Generator
HP-172,Main Transformer,2,38.47,MVA,Step-up Power Transformer
HP-172,EOT Crane,1,167.6,Tonne,Overhead EOT Crane
HP-173,Turbine,2,16.355,MW,Francis
HP-173,Generator,2,16.355,MW,Synchronous Hydro Generator
HP-173,Main Transformer,2,21.17,MVA,Step-up Power Transformer
HP-174,Turbine,4,19.775,MW,Francis
HP-174,Generator,4,19.775,MW,Synchronous Hydro Generator
HP-174,Main Transformer,4,25.59,MVA,Step-up Power Transformer
HP-175,Turbine,2,14.595,MW,Francis
HP-175,Generator,2,14.595,MW,Synchronous Hydro Generator
HP-175,Main Transformer,2,18.89,MVA,Step-up Power Transformer
HP-175,EOT Crane,1,292.2,Tonne,Overhead EOT Crane
HP-176,Turbine,3,9.7333,MW,Pelton
HP-176,Generator,3,9.7333,MW,Synchronous Hydro Generator
HP-176,Main Transformer,3,12.6,MVA,Step-up Power Transformer
HP-176,EOT Crane,1,156.0,Tonne,Overhead EOT Crane
HP-177,Turbine,3,22.9933,MW,Francis
HP-177,Generator,3,22.9933,MW,Synchronous Hydro Generator
HP-177,Main Transformer,3,29.76,MVA,Step-up Power Transformer
HP-177,EOT Crane,1,115.4,Tonne,Overhead EOT Crane
HP-178,Turbine,4,24.74,MW,Francis
HP-178,Generator,4,24.74,MW,Synchronous Hydro Generator
HP-178,Main Transformer,4,32.02,MVA,Step-up Power Transformer
HP-178,EOT Crane,1,28.7,Tonne,Overhead EOT Crane
HP-179,Turbine,2,16.785,MW,Francis
HP-179,Generator,2,16.785,MW,Synchronous Hydro Generator
HP-179,Main Transformer,2,21.72,MVA,Step-up Power Transformer
HP-179,EOT Crane,1,269.2,Tonne,Overhead EOT Crane
HP-180,Turbine,3,24.9333,MW,Pelton
HP-180,Generator,3,24.9333,MW,Synchronous Hydro Generator
HP-180,Main Transformer,3,32.27,MVA,Step-up Power Transformer
HP-180,EOT Crane,1,182.5,Tonne,Overhead EOT Crane
HP-181,Turbine,2,23.12,MW,Kaplan
HP-181,Generator,2,23.12,MW,Synchronous Hydro Generator
HP-181,Main Transformer,2,29.92,MVA,Step-up Power Transformer
HP-181,EOT Crane,1,184.0,Tonne,Overhead EOT Crane
HP-182,Turbine,4,24.5025,MW,Pelton
HP-182,Generator,4,24.5025,MW,Synchronous Hydro Generator
HP-182,Main Transformer,4,31.71,MVA,Step-up Power Transformer
HP-182,EOT Crane,1,201.2,Tonne,Overhead EOT Crane
HP-183,Turbine,3,19.81,MW,Francis
HP-183,Generator,3,19.81,MW,Synchronous Hydro Generator
HP-183,Main Transformer,3,25.64,MVA,Step-up Power Transformer
HP-183,EOT Crane,1,46.7,Tonne,Overhead EOT Crane
HP-184,Turbine,3,24.63,MW,Francis
HP-184,Generator,3,24.63,MW,Synchronous Hydro Generator
HP-184,Main Transformer,3,31.87,MVA,Step-up Power Transformer
HP-185,Turbine,3,13.6767,MW,Francis
HP-185,Generator,3,13.6767,MW,Synchronous Hydro Generator
HP-185,Main Transformer,3,17.7,MVA,Step-up Power Transformer
HP-185,EOT Crane,1,33.1,Tonne,Overhead EOT Crane
HP-186,Turbine,4,11.845,MW,Francis
HP-186,Generator,4,11.845,MW,Synchronous Hydro Generator
HP-186,Main Transformer,4,15.33,MVA,Step-up Power Transformer
HP-186,EOT Crane,1,222.0,Tonne,Overhead EOT Crane
HP-187,Turbine,2,33.445,MW,Francis
HP-187,Generator,2,33.445,MW,Synchronous Hydro Generator
HP-187,Main Transformer,2,43.28,MVA,Step-up Power Transformer
HP-187,EOT Crane,1,112.8,Tonne,Overhead EOT Crane
HP-188,Turbine,4,12.5075,MW,Pelton
HP-188,Generator,4,12.5075,MW,Synchronous Hydro Generator
HP-188,Main Transformer,4,16.19,MVA,Step-up Power Transformer
HP-188,EOT Crane,1,58.3,Tonne,Overhead EOT Crane
HP-189,Turbine,2,30.3,MW,Pelton
HP-189,Generator,2,30.3,MW,Synchronous Hydro Generator
HP-189,Main Transformer,2,39.21,MVA,Step-up Power Transformer
HP-189,EOT Crane,1,113.6,Tonne,Overhead EOT Crane
HP-190,Turbine,4,20.2075,MW,Pelton
HP-190,Generator,4,20.2075,MW,Synchronous Hydro Generator
HP-190,Main Transformer,4,26.15,MVA,Step-up Power Transformer
HP-190,EOT Crane,1,24.5,Tonne,Overhead EOT Crane
HP-191,Turbine,2,17.85,MW,Francis
HP-191,Generator,2,17.85,MW,Synchronous Hydro Generator
HP-191,Main Transformer,2,23.1,MVA,Step-up Power Transformer
HP-191,EOT Crane,1,188.4,Tonne,Overhead EOT Crane
HP-192,Turbine,3,23.8567,MW,Pelton
HP-192,Generator,3,23.8567,MW,Synchronous Hydro Generator
HP-192,Main Transformer,3,30.87,MVA,Step-up Power Transformer
HP-192,EOT Crane,1,26.1,Tonne,Overhead EOT Crane
HP-193,Turbine,4,22.0325,MW,Francis
HP-193,Generator,4,22.0325,MW,Synchronous Hydro Generator
HP-193,Main Transformer,4,28.51,MVA,Step-up Power Transformer
HP-193,EOT Crane,1,60.6,Tonne,Overhead EOT Crane
HP-194,Turbine,2,29.73,MW,Francis
HP-194,Generator,2,29.73,MW,Synchronous Hydro Generator
HP-194,Main Transformer,2,38.47,MVA,Step-up Power Transformer
HP-194,EOT Crane,1,41.2,Tonne,Overhead EOT Crane
HP-195,Turbine,2,30.915,MW,Pelton
HP-195,Generator,2,30.915,MW,Synchronous Hydro Generator
HP-195,Main Transformer,2,40.01,MVA,Step-up Power Transformer
HP-195,EOT Crane,1,29.7,Tonne,Overhead EOT Crane
HP-196,Turbine,2,21.55,MW,Pelton
HP-196,Generator,2,21.55,MW,Synchronous Hydro Generator
HP-196,Main Transformer,2,27.89,MVA,Step-up Power Transformer
HP-196,EOT Crane,1,17.6,Tonne,Overhead EOT Crane
HP-197,Turbine,3,25.4233,MW,Francis
HP-197,Generator,3,25.4233,MW,Synchronous Hydro Generator
HP-197,Main Transformer,3,32.9,MVA,Step-up Power Transformer
HP-197,EOT Crane,1,73.9,Tonne,Overhead EOT Crane
HP-198,Turbine,3,14.44,MW,Pelton
HP-198,Generator,3,14.44,MW,Synchronous Hydro Generator
HP-198,Main Transformer,3,18.69,MVA,Step-up Power Transformer
HP-198,EOT Crane,1,228.5,Tonne,Overhead EOT Crane
HP-199,Turbine,4,20.925,MW,Pelton
HP-199,Generator,4,20.925,MW,Synchronous Hydro Generator
HP-199,Main Transformer,4,27.08,MVA,Step-up Power Transformer
HP-199,EOT Crane,1,169.9,Tonne,Overhead EOT Crane
HP-200,Turbine,2,22.235,MW,Francis
HP-200,Generator,2,22.235,MW,Synchronous Hydro Generator
HP-200,Main Transformer,2,28.77,MVA,Step-up Power Transformer
HP-201,Turbine,3,2.28,MW,Francis
HP-201,Generator,3,2.28,MW,Synchronous Hydro Generator
HP-201,Main Transformer,3,2.95,MVA,Step-up Power Transformer
HP-201,EOT Crane,1,131.5,Tonne,Overhead EOT Crane
HP-202,Turbine,3,5.13,MW,Kaplan
HP-202,Generator,3,5.13,MW,Synchronous Hydro Generator
HP-202,Main Transformer,3,6.64,MVA,Step-up Power Transformer
HP-202,EOT Crane,1,224.8,Tonne,Overhead EOT Crane
HP-203,Turbine,2,9.285,MW,Francis
HP-203,Generator,2,9.285,MW,Synchronous Hydro Generator
HP-203,Main Transformer,2,12.02,MVA,Step-up Power Transformer
HP-204,Turbine,2,11.335,MW,Francis
HP-204,Generator,2,11.335,MW,Synchronous Hydro Generator
HP-204,Main Transformer,2,14.67,MVA,Step-up Power Transformer
HP-205,Turbine,3,2.16,MW,Francis
HP-205,Generator,3,2.16,MW,Synchronous Hydro Generator
HP-205,Main Transformer,3,2.8,MVA,Step-up Power Transformer
HP-205,EOT Crane,1,125.4,Tonne,Overhead EOT Crane
HP-206,Turbine,3,5.9133,MW,Francis
HP-206,Generator,3,5.9133,MW,Synchronous Hydro Generator
HP-206,Main Transformer,3,7.65,MVA,Step-up Power Transformer
HP-206,EOT Crane,1,118.4,Tonne,Overhead EOT Crane
HP-207,Turbine,2,10.68,MW,Francis
HP-207,Generator,2,10.68,MW,Synchronous Hydro Generator
HP-207,Main Transformer,2,13.82,MVA,Step-up Power Transformer
HP-207,EOT Crane,1,120.9,Tonne,Overhead EOT Crane
HP-208,Turbine,3,2.3767,MW,Francis
HP-208,Generator,3,2.3767,MW,Synchronous Hydro Generator
HP-208,Main Transformer,3,3.08,MVA,Step-up Power Transformer
HP-209,Turbine,3,2.1733,MW,Francis
HP-209,Generator,3,2.1733,MW,Synchronous Hydro Generator
HP-209,Main Transformer,3,2.81,MVA,Step-up Power Transformer
HP-209,EOT Crane,1,29.4,Tonne,Overhead EOT Crane
HP-210,Turbine,3,2.7633,MW,Francis
HP-210,Generator,3,2.7633,MW,Synchronous Hydro Generator
HP-210,Main Transformer,3,3.58,MVA,Step-up Power Transformer
HP-210,EOT Crane,1,214.8,Tonne,Overhead EOT Crane
HP-211,Turbine,3,7.0967,MW,Francis
HP-211,Generator,3,7.0967,MW,Synchronous Hydro Generator
HP-211,Main Transformer,3,9.18,MVA,Step-up Power Transformer
HP-211,EOT Crane,1,146.5,Tonne,Overhead EOT Crane
HP-212,Turbine,2,9.585,MW,Francis
HP-212,Generator,2,9.585,MW,Synchronous Hydro Generator
HP-212,Main Transformer,2,12.4,MVA,Step-up Power Transformer
HP-212,EOT Crane,1,100.2,Tonne,Overhead EOT Crane
HP-213,Turbine,2,10.575,MW,Kaplan
HP-213,Generator,2,10.575,MW,Synchronous Hydro Generator
HP-213,Main Transformer,2,13.69,MVA,Step-up Power Transformer
HP-213,EOT Crane,1,174.9,Tonne,Overhead EOT Crane
HP-214,Turbine,2,4.92,MW,Francis
HP-214,Generator,2,4.92,MW,Synchronous Hydro Generator
HP-214,Main Transformer,2,6.37,MVA,Step-up Power Transformer
HP-215,Turbine,2,6.865,MW,Francis
HP-215,Generator,2,6.865,MW,Synchronous Hydro Generator
HP-215,Main Transformer,2,8.88,MVA,Step-up Power Transformer
HP-215,EOT Crane,1,183.1,Tonne,Overhead EOT Crane
HP-216,Turbine,3,0.8733,MW,Francis
HP-216,Generator,3,0.8733,MW,Synchronous Hydro Generator
HP-216,Main Transformer,3,1.13,MVA,Step-up Power Transformer
HP-216,EOT Crane,1,140.6,Tonne,Overhead EOT Crane
HP-217,Turbine,3,8.0833,MW,Francis
HP-217,Generator,3,8.0833,MW,Synchronous Hydro Generator
HP-217,Main Transformer,3,10.46,MVA,Step-up Power Transformer
HP-217,EOT Crane,1,276.4,Tonne,Overhead EOT Crane
HP-218,Turbine,2,4.74,MW,Francis
HP-218,Generator,2,4.74,MW,Synchronous Hydro Generator
HP-218,Main Transformer,2,6.13,MVA,Step-up Power Transformer
HP-218,EOT Crane,1,215.6,Tonne,Overhead EOT Crane
HP-219,Turbine,2,5.82,MW,Francis
HP-219,Generator,2,5.82,MW,Synchronous Hydro Generator
HP-219,Main Transformer,2,7.53,MVA,Step-up Power Transformer
HP-219,EOT Crane,1,235.5,Tonne,Overhead EOT Crane
HP-220,Turbine,3,6.4,MW,Francis
HP-220,Generator,3,6.4,MW,Synchronous Hydro Generator
HP-220,Main Transformer,3,8.28,MVA,Step-up Power Transformer
HP-220,EOT Crane,1,266.2,Tonne,Overhead EOT Crane
HP-221,Turbine,2,5.225,MW,Francis
HP-221,Generator,2,5.225,MW,Synchronous Hydro Generator
HP-221,Main Transformer,2,6.76,MVA,Step-up Power Transformer
HP-222,Turbine,3,1.4567,MW,Francis
HP-222,Generator,3,1.4567,MW,Synchronous Hydro Generator
HP-222,Main Transformer,3,1.89,MVA,Step-up Power Transformer
HP-222,EOT Crane,1,53.0,Tonne,Overhead EOT Crane
HP-223,Turbine,3,3.7633,MW,Francis
HP-223,Generator,3,3.7633,MW,Synchronous Hydro Generator
HP-223,Main Transformer,3,4.87,MVA,Step-up Power Transformer
HP-223,EOT Crane,1,224.4,Tonne,Overhead EOT Crane
HP-224,Turbine,2,3.03,MW,Francis
HP-224,Generator,2,3.03,MW,Synchronous Hydro Generator
HP-224,Main Transformer,2,3.92,MVA,Step-up Power Transformer
HP-224,EOT Crane,1,99.6,Tonne,Overhead EOT Crane
HP-225,Turbine,2,11.23,MW,Francis
HP-225,Generator,2,11.23,MW,Synchronous Hydro Generator
HP-225,Main Transformer,2,14.53,MVA,Step-up Power Transformer
HP-225,EOT Crane,1,131.0,Tonne,Overhead EOT Crane
HP-226,Turbine,2,8.395,MW,Francis
HP-226,Generator,2,8.395,MW,Synchronous Hydro Generator
HP-226,Main Transformer,2,10.86,MVA,Step-up Power Transformer
HP-226,EOT Crane,1,181.0,Tonne,Overhead EOT Crane
HP-227,Turbine,3,3.17,MW,Kaplan
HP-227,Generator,3,3.17,MW,Synchronous Hydro Generator
HP-227,Main Transformer,3,4.1,MVA,Step-up Power Transformer
HP-227,EOT Crane,1,164.2,Tonne,Overhead EOT Crane
HP-228,Turbine,2,9.785,MW,Kaplan
HP-228,Generator,2,9.785,MW,Synchronous Hydro Generator
HP-228,Main Transformer,2,12.66,MVA,Step-up Power Transformer
HP-228,EOT Crane,1,68.5,Tonne,Overhead EOT Crane
HP-229,Turbine,2,1.315,MW,Francis
HP-229,Generator,2,1.315,MW,Synchronous Hydro Generator
HP-229,Main Transformer,2,1.7,MVA,Step-up Power Transformer
HP-230,Turbine,2,10.705,MW,Francis
HP-230,Generator,2,10.705,MW,Synchronous Hydro Generator
HP-230,Main Transformer,2,13.85,MVA,Step-up Power Transformer
HP-230,EOT Crane,1,42.6,Tonne,Overhead EOT Crane
HP-231,Turbine,3,7.2067,MW,Francis
HP-231,Generator,3,7.2067,MW,Synchronous Hydro Generator
HP-231,Main Transformer,3,9.33,MVA,Step-up Power Transformer
HP-231,EOT Crane,1,252.3,Tonne,Overhead EOT Crane
HP-232,Turbine,2,6.505,MW,Francis
HP-232,Generator,2,6.505,MW,Synchronous Hydro Generator
HP-232,Main Transformer,2,8.42,MVA,Step-up Power Transformer
HP-232,EOT Crane,1,67.6,Tonne,Overhead EOT Crane
HP-233,Turbine,2,5.15,MW,Francis
HP-233,Generator,2,5.15,MW,Synchronous Hydro Generator
HP-233,Main Transformer,2,6.66,MVA,Step-up Power Transformer
HP-233,EOT Crane,1,30.5,Tonne,Overhead EOT Crane
HP-234,Turbine,2,9.31,MW,Francis
HP-234,Generator,2,9.31,MW,Synchronous Hydro Generator
HP-234,Main Transformer,2,12.05,MVA,Step-up Power Transformer
HP-235,Turbine,3,5.7567,MW,Francis
HP-235,Generator,3,5.7567,MW,Synchronous Hydro Generator
HP-235,Main Transformer,3,7.45,MVA,Step-up Power Transformer
HP-235,EOT Crane,1,105.4,Tonne,Overhead EOT Crane
HP-236,Turbine,2,10.725,MW,Francis
HP-236,Generator,2,10.725,MW,Synchronous Hydro Generator
HP-236,Main Transformer,2,13.88,MVA,Step-up Power Transformer
HP-236,EOT Crane,1,213.1,Tonne,Overhead EOT Crane
HP-237,Turbine,3,5.9767,MW,Francis
HP-237,Generator,3,5.9767,MW,Synchronous Hydro Generator
HP-237,Main Transformer,3,7.73,MVA,Step-up Power Transformer
HP-237,EOT Crane,1,85.8,Tonne,Overhead EOT Crane
HP-238,Turbine,2,5.175,MW,Francis
HP-238,Generator,2,5.175,MW,Synchronous Hydro Generator
HP-238,Main Transformer,2,6.7,MVA,Step-up Power Transformer
